,v,a,vsp,CO2
1011,20.45555556,0.011111111,5.809191398,0.9506
1012,20.47222222,-0.211111111,1.269773869,2.1244
1013,20.48333333,-0.077777778,4.006133701,0.4534
1014,20.51111111,-0.022222222,5.158774012,0.5616
1015,20.55555556,0.244444444,10.66424355,1.0252
1016,20.58333333,0.172222222,9.200783745,1.063
1017,20.61111111,0.066666667,7.04636188,0.5446
1018,20.65,-0.222222222,1.108794014,0.964
1019,20.69444444,-0.216666667,1.237885074,0.193
1020,20.72777778,0.122222222,8.276542217,0.8134
1021,20.78888889,0.127777778,8.43158542,0.699
1022,20.82222222,-0.111111111,3.485843071,0.8754
1023,20.83333333,0.133333333,8.581311236,1.1738
1024,20.86666667,0.094444444,7.794159221,1.0822
1025,20.91111111,-0.083333333,4.107587284,0.3344
1026,20.96666667,0.094444444,7.862148069,0.9256
1027,21.00555556,-0.155555556,2.64474564,0.769
1028,21.02777778,-0.405555556,-2.606915467,0.3124
1029,21.05,0.144444444,8.973498726,0.9378
1030,21.08888889,-0.216666667,1.391579467,0.3148
1031,21.12222222,-0.15,2.814687756,0.8248
1032,21.16111111,-0.216666667,1.416888594,0.5048
1033,21.19444444,-0.044444444,5.079918634,0.8748
1034,21.21111111,-0.211111111,1.553949909,1.3532
1035,21.23333333,0.227777778,10.88238192,1.3526
1036,21.25555556,-0.094444444,4.052050978,1.3428
1037,21.27777778,-0.011111111,5.836590496,0.8274
1038,21.3,0.094444444,8.097977546,0.5826
1039,21.32777778,-0.038888889,5.272729543,1.249
1040,21.34444444,0.05,7.180750338,0.8394
1041,21.38888889,0.144444444,9.230999069,0.561
1042,21.40555556,-0.016666667,5.795294483,1.9976
1043,21.41666667,0.033333333,6.872806884,0.4926
1044,21.43333333,-0.15,2.952433922,1.1676
1045,21.46666667,-0.127777778,3.447263569,1.0308
1046,21.5,-0.116666667,3.700807828,0.6436
1047,21.53888889,0.188888889,10.30513845,3.0214
1048,21.56666667,0.033333333,6.970659235,1.438
1049,21.58333333,-0.138888889,3.265809544,1.715
1050,21.6,-0.05,5.193779188,0.5218
1051,21.62777778,0.061111111,7.61253814,1.3778
1052,21.64444444,-0.111111111,3.896936279,0.257
1053,21.66666667,0.038888889,7.158467517,0.6034
1054,21.71111111,0.094444444,8.392922551,1.8346
1055,21.75,-0.166666667,2.744136411,2.7662
1056,21.75555556,0.133333333,9.271159898,0.5238
1057,21.83333333,0.277777778,12.48443006,1.2726
1058,21.87777778,-0.1,4.262599612,3.147
1059,21.88888889,0.061111111,7.79543404,2.1192
1060,21.91666667,0.105555556,8.789042807,0.3258
1061,21.93888889,0.083333333,8.319630449,1.3368
1062,21.96666667,-0.194444444,2.23708483,0.6592
1063,21.97222222,-7.10543E-16,6.511687303,0.6082
1064,22.00555556,-0.466666667,-3.732973447,0.8852
1065,22.02777778,-0.094444444,4.467484633,0.374
1066,22.05,0.155555556,9.992072264,0.2412
1067,22.06666667,0.088888889,8.534362984,0.5254
1068,22.1,-0.15,3.279632571,1.9042
1069,22.13333333,-0.172222222,2.806110964,0.2348
1070,22.15555556,-0.088888889,4.663925419,2.211
1071,22.17222222,0.044444444,7.627138781,1.5492
1072,22.21111111,0.033333333,7.406604783,0.5586
1073,22.23333333,-0.116666667,4.088460229,2.1272
1074,22.26111111,-0.066666667,5.216149991,1.729
1075,22.27777778,0.011111111,6.959309771,3.4034
1076,22.30555556,0.066666667,8.217141617,2.4432
1077,22.34444444,-2.84217E-15,6.755735486,2.6354
1078,22.38333333,0.277777778,12.99896674,0.6166
1079,22.4,-0.35,-1.050221807,0.254
1080,22.43888889,-0.027777778,6.195204711,1.6728
1081,22.48333333,-0.105555556,4.476525693,0.8666
1082,22.52222222,0.038888889,7.749381284,0.7612
1083,22.52777778,-0.005555556,6.753652353,2.0142
1084,22.55555556,-0.088888889,4.894285417,1.2448
1085,22.58333333,0.088888889,8.92358561,3.6542
1086,22.59444444,-0.077777778,5.163773061,3.6948
1087,22.63888889,0.055555556,8.211608341,3.3324
1088,22.66666667,-0.083333333,5.083647828,4.6804
1089,22.71111111,-0.033333333,6.247661067,5.1146
1090,22.76666667,0.255555556,12.86146275,3.8588
1091,22.82222222,0.177777778,11.12921094,4.127
1092,22.87222222,0.077777778,8.890982998,4.6336
1093,22.93333333,-0.161111111,3.464057777,1.991
1094,23.00555556,0.061111111,8.612364684,1.1998
1095,23.03333333,0,7.228289843,2.1646
1096,23.09444444,0.061111111,8.672977913,4.5746
1097,23.11666667,0.061111111,8.697053044,5.1782
1098,23.14444444,-0.338888889,-0.537729091,1.6854
1099,23.16666667,-0.127777778,4.359225072,0.6864
1100,23.19444444,0.1,9.658096078,1.2708
1101,23.23333333,-0.1,5.040082774,1.8524
1102,23.29444444,-0.116666667,4.692896976,1.176
1103,23.36666667,0.088888889,9.533581726,1.936
1104,23.45555556,0.105555556,10.0001898,3.6646
1105,23.48888889,-0.027777778,6.896158229,4.174
1106,23.52777778,0.094444444,9.798871909,4.4122
1107,23.54444444,-0.194444444,3.011696665,3.4738
1108,23.59444444,0.161111111,11.42624938,1.5154
1109,23.65,-0.038888889,6.744734236,0.9208
1110,23.67777778,-0.011111111,7.424057856,0.1838
1111,23.72222222,-0.122222222,4.817234768,0.3008
1112,23.79444444,0.016666667,8.16710283,0.7252
1113,23.84444444,-0.127777778,4.764075973,2.6144
1114,23.88333333,-0.2,3.059771624,0.9464
1115,23.94444444,0.194444444,12.53504892,2.4174
1116,24,-0.016666667,7.523376104,3.4834
1117,24.05555556,-0.311111111,0.483763902,2.0912
1118,24.11111111,-7.10543E-16,8.009064287,1.5022
1119,24.16111111,0.011111111,8.312756618,1.8558
1120,24.18888889,-0.083333333,6.050103064,0.707
